year,Qa,ID,country
1986,110.0975342,IN_0000117,IN
1987,71.67222466,IN_0000117,IN
1988,129.5479973,IN_0000117,IN
1989,92.4141726,IN_0000117,IN
1990,201.8092274,IN_0000117,IN
1991,224.6379781,IN_0000117,IN
1992,106.5051484,IN_0000117,IN
1993,145.8528603,IN_0000117,IN
1994,327.9701096,IN_0000117,IN
1995,82.02500824,IN_0000117,IN
1996,117.9365874,IN_0000117,IN
1997,225.1766192,IN_0000117,IN
1998,118.3649863,IN_0000117,IN
1999,165.6817863,IN_0000117,IN
2000,76.14978689,IN_0000117,IN
2001,73.42671507,IN_0000117,IN
2002,82.9684274,IN_0000117,IN
2003,72.46189315,IN_0000117,IN
2004,163.2130492,IN_0000117,IN
2005,332.0307644,IN_0000117,IN
2006,342.5252329,IN_0000117,IN
2007,213.6022959,IN_0000117,IN
2008,121.2602842,IN_0000117,IN
2009,121.4227425,IN_0000117,IN
2010,87.42185205,IN_0000117,IN
2011,118.6488192,IN_0000117,IN
2012,,IN_0000117,IN
1968,60.03053521,JP_0000005,JP
1969,80.17270655,JP_0000005,JP
1970,92.27654795,JP_0000005,JP
1971,82.17326027,JP_0000005,JP
1972,81.70295082,JP_0000005,JP
1973,97.52569863,JP_0000005,JP
1974,101.2376164,JP_0000005,JP
1975,115.1947397,JP_0000005,JP
1976,54.66896175,JP_0000005,JP
1977,88.22441096,JP_0000005,JP
1978,65.23293151,JP_0000005,JP
1979,73.79090411,JP_0000005,JP
1980,69.36898907,JP_0000005,JP
1981,106.7015342,JP_0000005,JP
1982,79.32980822,JP_0000005,JP
1983,71.38945205,JP_0000005,JP
1984,56.93754098,JP_0000005,JP
1985,71.32728767,JP_0000005,JP
1986,77.40668571,JP_0000005,JP
1987,93.14734247,JP_0000005,JP
1988,80.65571038,JP_0000005,JP
1989,76.48863014,JP_0000005,JP
1990,70.59463014,JP_0000005,JP
1991,72.35534247,JP_0000005,JP
1992,89.38877049,JP_0000005,JP
1993,62.58660274,JP_0000005,JP
1994,94.29947945,JP_0000005,JP
1995,81.05378082,JP_0000005,JP
1996,79.24519126,JP_0000005,JP
1997,82.54654795,JP_0000005,JP
1998,75.38621918,JP_0000005,JP
1999,90.2609589,JP_0000005,JP
2000,89.12295082,JP_0000005,JP
2001,91.28750685,JP_0000005,JP
2002,68.17876712,JP_0000005,JP
2003,68.16372603,JP_0000005,JP
2004,69.01959016,JP_0000005,JP
2005,76.90693151,JP_0000005,JP
2006,79.87827397,JP_0000005,JP
2007,58.15969863,JP_0000005,JP
2008,55.57379781,JP_0000005,JP
2009,81.82829201,JP_0000005,JP
2010,99.91314917,JP_0000005,JP
2011,87.47884932,JP_0000005,JP
2012,84.29330601,JP_0000005,JP
1968,153.4247541,JP_0000009,JP
1969,214.7617857,JP_0000009,JP
1970,224.3373699,JP_0000009,JP
1971,198.4195616,JP_0000009,JP
1972,166.5249727,JP_0000009,JP
1973,259.1614795,JP_0000009,JP
1974,249.0259178,JP_0000009,JP
1975,260.3444384,JP_0000009,JP
1976,138.3198361,JP_0000009,JP
1977,205.655589,JP_0000009,JP
1978,152.2194795,JP_0000009,JP
1979,191.7167123,JP_0000009,JP
1980,174.5480055,JP_0000009,JP
1981,228.2447514,JP_0000009,JP
1982,195.2382466,JP_0000009,JP
1983,178.9778082,JP_0000009,JP
1984,141.3006831,JP_0000009,JP
1985,169.6566575,JP_0000009,JP
1986,183.1986849,JP_0000009,JP
1987,200.5869589,JP_0000009,JP
1988,189.8754918,JP_0000009,JP
1989,169.5670685,JP_0000009,JP
1990,164.1524932,JP_0000009,JP
1991,167.4992055,JP_0000009,JP
1992,199.4145082,JP_0000009,JP
1993,151.4884384,JP_0000009,JP
1994,210.9360822,JP_0000009,JP
1995,181.9614795,JP_0000009,JP
1996,179.6905191,JP_0000009,JP
1997,191.4887397,JP_0000009,JP
1998,162.4309863,JP_0000009,JP
1999,218.3007397,JP_0000009,JP
2000,185.8247814,JP_0000009,JP
2001,214.1725753,JP_0000009,JP
2002,167.4716438,JP_0000009,JP
2003,156.1473425,JP_0000009,JP
2004,157.2110656,JP_0000009,JP
2005,174.2181644,JP_0000009,JP
2006,200.8302192,JP_0000009,JP
