ID,year,Q,Ql,Qu
JP_0001023,1616,62.1284884023866,42.122314942142,91.6366794291198
JP_0001023,1617,59.7562603987499,40.5139749091996,88.1377515991988
JP_0001023,1618,76.9530870065764,52.1732018597856,113.502284482298
JP_0001023,1619,66.9391098643733,45.3838543341328,98.7321261091003
JP_0001023,1620,80.5251464127002,54.5950121301769,118.770908765907
JP_0001023,1621,63.8000510444244,43.2556128842617,94.1021578901767
JP_0001023,1622,70.4552775229038,47.7677707195233,103.918312620785
JP_0001023,1623,52.736513280966,35.7546767753965,77.7839455941401
JP_0001023,1624,63.0155492569059,42.7237307764514,92.9450536266898
JP_0001023,1625,58.5903049261769,39.7234721159215,86.4180205930812
JP_0001023,1626,61.1036572986125,41.4274926532736,90.1251004137525
JP_0001023,1627,67.7024416098062,45.9013834260723,99.8580055285586
JP_0001023,1628,56.1371315668766,38.060252174389,82.7997020649641
JP_0001023,1629,58.7914472758431,39.8598440383473,86.7146963611541
JP_0001023,1630,68.3483360040734,46.3392915064762,100.810670225134
JP_0001023,1631,67.5210361655425,45.7783928713045,99.5904407934402
JP_0001023,1632,72.1292105390697,48.9026757447723,106.38728727529
JP_0001023,1633,63.131113701881,42.8020819817122,93.1155058985847
JP_0001023,1634,52.5363968171267,35.6190003903482,77.488782960751
JP_0001023,1635,50.4642743496957,34.2141280456919,74.432497073735
JP_0001023,1636,64.7076329184339,43.8709417054815,95.4407996531251
JP_0001023,1637,56.5705387761707,38.3540966801468,83.4389578801567
JP_0001023,1638,59.4630627117041,40.3151906536731,87.7052984179277
JP_0001023,1639,66.5998004607904,45.1538069286981,98.2316602544986
JP_0001023,1640,49.2824213487465,33.4128469329296,72.6893179402126
JP_0001023,1641,63.3467032369691,42.948248909779,93.433490604525
JP_0001023,1642,56.5921416343532,38.3687431397568,83.4708211081369
JP_0001023,1643,45.2458424306366,30.6760984162717,66.7355486176201
JP_0001023,1644,53.218177062602,36.0812386156732,78.494377646897
JP_0001023,1645,58.742009213632,39.8263256689142,86.6417774800588
JP_0001023,1646,60.4766258015113,41.0023733742003,89.200257627949
JP_0001023,1647,49.4569093740443,33.5311475667327,72.9466797986708
JP_0001023,1648,53.8103908047955,36.4827519053605,79.3678658363315
JP_0001023,1649,64.9237887162083,44.0174925523563,95.759619570634
JP_0001023,1650,54.4796641772493,36.9365106318613,80.3550134566757
JP_0001023,1651,66.5875221358572,45.1454823825342,98.213550286676
JP_0001023,1652,68.8487651423806,46.6785760168843,101.548780320893
JP_0001023,1653,88.9987672104254,60.3400178935612,131.269111967246
JP_0001023,1654,52.3141715696208,35.468334534728,77.1610108824273
JP_0001023,1655,55.9501189796899,37.9334600489375,82.5238670504336
JP_0001023,1656,56.6059861373522,38.3781295344774,83.4912411169895
JP_0001023,1657,62.7583684053206,42.5493654714821,92.5657236307724
JP_0001023,1658,52.0264332366448,35.2732516509462,76.7366099987681
JP_0001023,1659,53.5429082751458,36.3014021953457,78.9733413363365
JP_0001023,1660,47.9126812151892,32.4841807641842,70.6690138776537
JP_0001023,1661,52.4141887316006,35.5361448823618,77.3085316228386
JP_0001023,1662,41.7512771353861,28.3068281549536,61.5812246039572
JP_0001023,1663,48.9288747334511,33.1731468813245,72.1678528493634
JP_0001023,1664,46.342385392701,31.4195404214354,68.3528993447801
JP_0001023,1665,48.3604337144517,32.787751191778,71.3294283395792
JP_0001023,1666,42.4387365784718,28.7729168031121,62.5951958468844
JP_0001023,1667,50.4784385338907,34.223731180146,74.4533885977335
JP_0001023,1668,56.41776836068,38.2505203060773,83.2136285030778
JP_0001023,1669,64.8380613404386,43.9593704957251,95.6331756114501
JP_0001023,1670,55.2162776658082,37.4359250897627,81.4414846689972
JP_0001023,1671,59.6807999219448,40.4628136778321,88.0264508465107
JP_0001023,1672,52.5878198139998,35.6538645199167,77.564629529707
JP_0001023,1673,57.6406073121991,39.0795893654402,85.0172600395162
JP_0001023,1674,59.5725718647125,40.3894364489706,87.8668194110635
JP_0001023,1675,51.7281007436126,35.0709860630956,76.2965832134674
JP_0001023,1676,74.9874342858089,50.8405146320715,110.603036603042
JP_0001023,1677,52.3798170488074,35.5128413241241,77.2578349624409
JP_0001023,1678,62.0020404743433,42.0365848755367,91.450174517371
JP_0001023,1679,61.162769268926,41.4675698078032,90.2122878669375
JP_0001023,1680,59.5697831540656,40.3875457390697,87.8627061903794
JP_0001023,1681,49.3515682962344,33.4597276727363,72.7913065258581
JP_0001023,1682,45.174115474484,30.62746846382,66.6297546371708
JP_0001023,1683,49.8475250568615,33.7959799686801,73.5228200690484
JP_0001023,1684,62.0381598213314,42.0610733275892,91.5034489025402
JP_0001023,1685,58.7098253069441,39.8045053946981,86.5943076893754
